mid_time_s,period_s,speed_hz
5854.4349999999995,4.869999999999891,0.2053388090349122
5858.7,3.6599999999998545,0.27322404371585784
5862.355,3.6500000000005457,0.27397260273968504
5867.530000000001,6.699999999999818,0.14925373134328762
5873.005,4.25,0.23529411764705882
5877.74,5.220000000000255,0.1915708812260443
5882.0,3.2999999999992724,0.3030303030303698
5885.775,4.25,0.23529411764705882
5893.075,10.350000000000364,0.0966183574879193
5901.29,6.079999999999927,0.16447368421052827
5906.77,4.880000000000109,0.20491803278688067
5910.715,3.0100000000002183,0.3322259136212384
5916.1849999999995,7.9299999999993815,0.1261034047919392
5925.01,9.720000000000255,0.1028806584362113
5935.35,10.960000000000036,0.09124087591240845
5946.3,10.94000000000051,0.09140767824496832
5955.115,6.6899999999996,0.1494768310911898
5961.2,5.479999999999563,0.18248175182483206
5968.799999999999,9.720000000000255,0.1028806584362113
5979.139999999999,10.960000000000036,0.09124087591240845
5990.395,11.550000000000182,0.08658008658008522
5998.305,4.269999999999527,0.23419203747075193
6004.084999999999,7.289999999999964,0.137174211248286
6009.855,4.25,0.23529411764705882
6015.325,6.690000000000509,0.1494768310911695
6024.445,11.550000000000182,0.08658008658008522
6035.085,9.729999999999563,0.10277492291881242
6043.91,7.920000000000073,0.1262626262626251
6051.215,6.690000000000509,0.1494768310911695
6057.6,6.079999999999927,0.16447368421052827
6063.98,6.6799999999993815,0.14970059880240907
6070.365,6.0900000000001455,0.16420361247947063
6076.45,6.079999999999927,0.16447368421052827
6082.835,6.690000000000509,0.1494768310911695
6089.215,6.069999999999709,0.16474464579901943
6095.3,6.100000000000364,0.16393442622949841
6101.39,6.079999999999927,0.16447368421052827
6107.165,5.469999999999345,0.18281535648996705
6112.94,6.079999999999927,0.16447368421052827
6118.11,4.260000000000218,0.23474178403754667
6122.365,4.25,0.23529411764705882
6126.32,3.6599999999998545,0.27322404371585784
6129.969999999999,3.6400000000003274,0.27472527472525
6133.915,4.25,0.23529411764705882
6137.87,3.6599999999998545,0.27322404371585784
6141.52,3.6400000000003274,0.27472527472525
6145.47,4.260000000000218,0.23474178403754667
6149.425,3.649999999999636,0.2739726027397533
6153.375,4.25,0.23529411764705882
6157.33,3.6599999999998545,0.27322404371585784
6160.985000000001,3.6500000000005457,0.27397260273968504
6164.935,4.25,0.23529411764705882
6171.015,7.9099999999998545,0.12642225031605794
6177.095,4.25,0.23529411764705882
6181.05,3.6599999999998545,0.27322404371585784
6185.005,4.25,0.23529411764705882
6188.955,3.649999999999636,0.2739726027397533
6192.91,4.260000000000218,0.23474178403754667
6197.165,4.25,0.23529411764705882
6201.12,3.6599999999998545,0.27322404371585784
6205.07,4.239999999999782,0.23584905660378572
6209.02,3.660000000000764,0.27322404371578995
6212.975,4.25,0.23529411764705882
6216.925,3.649999999999636,0.2739726027397533
6220.88,4.260000000000218,0.23474178403754667
6224.84,3.6599999999998545,0.27322404371585784
6228.495,3.649999999999636,0.2739726027397533
6232.4400000000005,4.240000000000691,0.23584905660373515
6236.39,3.6599999999998545,0.27322404371585784
6240.045,3.649999999999636,0.2739726027397533
6243.995,4.25,0.23529411764705882
6247.945,3.6500000000005457,0.27397260273968504
6251.895,4.25,0.23529411764705882
6255.85,3.6599999999998545,0.27322404371585784
6259.51,3.6599999999998545,0.27322404371585784
6263.46,4.239999999999782,0.23584905660378572
6267.41,3.6599999999998545,0.27322404371585784
6273.1900000000005,7.900000000000546,0.12658227848100392
6279.265,4.25,0.23529411764705882
6283.225,3.6700000000000728,0.27247956403269213
6287.18,4.239999999999782,0.23584905660378572
6291.13,3.6599999999998545,0.27322404371585784
6295.085,4.25,0.23529411764705882
6299.335,4.25,0.23529411764705882
6303.29,3.6599999999998545,0.27322404371585784
6306.95,3.6599999999998545,0.27322404371585784
6310.9,4.240000000000691,0.23584905660373515
6314.85,3.6599999999998545,0.27322404371585784
6318.805,4.25,0.23529411764705882
6324.58,7.299999999999272,0.13698630136987666
6330.355,4.25,0.23529411764705882
6335.825,6.690000000000509,0.1494768310911695
